name,type,address,defacto,scale,mega,inverter,system,subsystem,description
alarmTapwaterWcsReturnLineTemperatureDeviation,InputStatus,65,10066,1,1,0,Tapwater,WCS,"WCS return line temperature deviation alarm (EM)"
alarmHeatpumpSum,InputStatus,66,10067,1,1,1,Heatpump,Unit,"Sum alarm"
alarmCoolingCircuitSupplyLineTemperatureDeviation,InputStatus,67,10068,1,1,0,Cooling,CoolingCircuit,"Cooling circuit supply line temperature deviation alarm (EM)"
alarmCoolingTankTemperatureDeviation,InputStatus,68,10069,1,1,0,Cooling,CoolingTank,"Cooling tank temperature deviation alarm (EM)"
alarmCoolingSurplusHeatTemperatureDeviation,InputStatus,69,10070,1,1,0,Cooling,SurplusHeat,"Surplus heat temperature deviation alarm (EM)"
alarmCoolingHumidityRoomSensor,InputStatus,70,10071,1,1,0,Cooling,CoolingCircuit,"Humidity room sensor alarm"
alarmCoolingSurplusHeatSupplyLineSensor,InputStatus,71,10072,1,1,0,Cooling,SurplusHeat,"Surplus heat supply line sensor alarm (EM)"
alarmCoolingSurplusHeatReturnLineSensor,InputStatus,72,10073,1,1,0,Cooling,SurplusHeat,"Surplus heat return line sensor alarm (EM)"
alarmCoolingTankReturnLineSensor,InputStatus,73,10074,1,1,0,Cooling,CoolingTank,"Cooling tank return line sensor alarm (EM)"
alarmHeatingTemperatureRoomSensor,InputStatus,74,10075,1,1,1,Heating,Unit,"Temperature room sensor alarm"
alarmHeatpumpInverterUnitCommunication,InputStatus,75,10076,1,1,1,Heatpump,Unit,"Inverter unit communication alarm"
alarmPoolReturnLineSensor,InputStatus,76,10077,1,1,1,Pool,Unit,"Pool return line sensor alarm"
statusPoolExternalStop,InputStatus,77,10078,1,1,1,Pool,Unit,"External stop for pool, read only"
statusCoolingExternalStartBrinePump,InputStatus,78,10079,1,1,1,Cooling,Unit,"External start brine pump, read only"
statusHeatpumpExternalRelayBrineGroundWaterPump,InputStatus,79,10080,1,1,0,Heatpump,Unit,"External relay for brine/ground water pump."
alarmTapwaterEndTankSensor,InputStatus,81,10082,1,1,1,Tapwater,TWC,"Tap water end tank sensor alarm"
alarmTapwaterMaxTimeAntiLegionellaExceeded,InputStatus,82,10083,1,0,1,Tapwater,Unit,"Maximum time for anti-legionella exceeded alarm"
alarmHeatpumpGenesisSecondaryUnitCommunication,InputStatus,83,10084,1,1,0,Heatpump,Unit,"Genesis secondary unit alarm - this specific secondary unit can't communicate with its primary unit"
alarmHeatpumpPrimaryUnitNetworkConflict,InputStatus,84,10085,1,1,0,Heatpump,Unit,"Primary unit alarm - the primary has detected other primary units on the same network with a network mask that is allowing conflict. Change network settings in order to avoid problem. For instance change port number on the primary and its secondary unit."
alarmHeatpumpPrimaryUnitSecondariesNotDetected,InputStatus,85,10086,1,1,0,Heatpump,Unit,"Primary unit alarm - the primary has not detected all secondary units. Make sure that the primary/secondary settings are correct and the network mask and port and number of Genesis secondaries settings are correct."
statusHeatpumpOilBoostInProgress,InputStatus,86,10087,1,0,1,Heatpump,Unit,"Oil boost in progress"
statusHeatpumpCompressorControl,InputStatus,199,10200,1,1,1,Heatpump,Unit,"Compressor control signal"
statusHeatpumpSmartGrid1Evu,InputStatus,201,10202,1,1,1,Heatpump,Unit,"Smart Grid 1, EVU input"
statusHeatpumpExternalAlarmInput,InputStatus,202,10203,1,1,1,Heatpump,Unit,"External alarm input"
statusHeatpumpSmartGrid2,InputStatus,204,10205,1,1,1,Heatpump,Unit,"Smart Grid 2"
statusHeatpumpExternalAdditionalHeaterControl,InputStatus,206,10207,1,1,1,Heatpump,Unit,"External additional heater control signal"
statusHeatingMixValve1CirculationPumpControl,InputStatus,209,10210,1,1,1,Heating,MixValve1,"Mix valve 1 circulation pump control signal"
statusHeatpumpCondenserPumpOnOff,InputStatus,210,10211,1,1,1,Heatpump,Unit,"Condenser pump On/off control"
statusHeatingSystemCirculationPumpControl,InputStatus,211,10212,1,1,1,Heating,Unit,"System circulation pump control signal"
statusTapwaterHotGasCirculationPumpControl,InputStatus,213,10214,1,1,0,Tapwater,Unit,"Hot gas circulation pump control signal"
statusHeatpumpBrinePumpOnOff,InputStatus,218,10219,1,1,1,Heatpump,Unit,"Brine pump On/off control"
statusHeatpumpExternalHeaterCirculationPumpControl,InputStatus,219,10220,1,1,1,Heatpump,Unit,"External heater circulation pump control signal"
statusHeatingSeasonWinterActive,InputStatus,220,10221,1,1,1,Heating,Unit,"Heating season (winter) active"
statusHeatpumpExternalAdditionalHeaterActive,InputStatus,221,10222,1,1,1,Heatpump,Unit,"External additional heater active"
statusHeatpumpInternalAdditionalHeaterActive,InputStatus,222,10223,1,0,1,Heatpump,Unit,"Internal additional heater active"
statusTapwaterHgwRegulationControl,InputStatus,223,10224,1,0,1,Tapwater,HGW,"HGW regulation control signal"
statusHeatpumpStopping,InputStatus,224,10225,1,1,1,Heatpump,Unit,"Heat pump stopping"
statusHeatpumpOkToStart,InputStatus,225,10226,1,1,1,Heatpump,Unit,"Heat pump OK to start"
statusTapwaterTwcSupplyLineCirculationPumpControl,InputStatus,230,10231,1,1,1,Tapwater,TWC,"TWC supply line circulation pump control signal (EM)"
statusTapwaterWcsRegulationControl,InputStatus,232,10233,1,1,0,Tapwater,WCS,"WCS regulation control signal (EM)"
statusTapwaterWcsCirculationPumpControl,InputStatus,233,10234,1,1,0,Tapwater,WCS,"WCS circulation pump control signal (EM)"
statusTapwaterTwcEndTankHeaterControl,InputStatus,234,10235,1,1,1,Tapwater,TWC,"TWC end tank heater control signal (EM)"
statusPoolDirectionalValvePosition,InputStatus,235,10236,1,1,1,Pool,Unit,"Pool directional valve position (EM)"
statusCoolingCircuitCirculationPumpControl,InputStatus,236,10237,1,1,0,Cooling,CoolingCircuit,"Cooling circuit circulation pump control signal (EM)"
statusPoolCirculationPumpControl,InputStatus,237,10238,1,1,1,Pool,Unit,"Pool circulation pump control signal (EM)"
statusCoolingSurplusHeatDirectionalValvePosition,InputStatus,238,10239,1,1,0,Cooling,SurplusHeat,"Surplus heat directional valve position (EM)"
statusCoolingSurplusHeatCirculationPumpControl,InputStatus,239,10240,1,1,0,Cooling,SurplusHeat,"Surplus heat circulation pump control signal (EM)"
statusCoolingCircuitRegulationControl,InputStatus,240,10241,1,1,0,Cooling,CoolingCircuit,"Cooling circuit regulation control signal (EM)"
statusCoolingSurplusHeatRegulationControl,InputStatus,241,10242,1,1,0,Cooling,SurplusHeat,"Surplus heat regulation control signal (EM)"
statusCoolingActiveCoolingDirectionalValvePosition,InputStatus,242,10243,1,1,0,Cooling,CoolingTank,"Active cooling directional valve position (Borehole disconnected) (EM)"
statusCoolingPassiveActiveCoolingDirectionalValvePosition,InputStatus,243,10244,1,1,0,Cooling,CoolingTank,"Passive/Active cooling directional valve position (Cooling tank connected) (EM)"
statusPoolRegulationControl,InputStatus,244,10245,1,1,1,Pool,Unit,"Pool regulation control signal (EM)"
statusHeatingMixValve1ProducingPassiveCooling,InputStatus,245,10246,1,1,1,Heating,MixValve1,"Indication when mixing valve 1 is producing passive cooling"
statusHeatpumpCompressorUnableToSpeedUp,InputStatus,246,10247,1,1,1,Heatpump,Unit,"Compressor is unable to speed up"
# input register
valueHeatpumpCurrentlyRunningFirstPrioritisedDemand,InputRegister,1,30002,1,1,1,Heatpump,Unit,"Currently running: First prioritised demand *1"
valueHeatpumpCompressorAvailableGears,InputRegister,4,30005,100,1,1,Heatpump,Unit,"Compressor available gears *3"
valueHeatpumpCompressorSpeedRpm,InputRegister,5,30006,1,1,1,Heatpump,Unit,"Compressor speed RPM"
valueHeatpumpExternalAdditionalHeaterCurrentDemand,InputRegister,6,30007,100,1,1,Heatpump,Unit,"External additional heater: Current demand (%)"
valueHeatpumpDischargePipeTemperature,InputRegister,7,30008,100,1,1,Heatpump,Unit,"Discharge pipe temperature"
valueHeatpumpCondenserInTemperature,InputRegister,8,30009,100,1,1,Heatpump,Unit,"Condenser in temperature"
valueHeatpumpCondenserOutTemperature,InputRegister,9,30010,100,1,1,Heatpump,Unit,"Condenser out temperature"
valueHeatpumpBrineInTemperature,InputRegister,10,30011,100,1,1,Heatpump,Unit,"Brine in temperature"
valueHeatpumpBrineOutTemperature,InputRegister,11,30012,100,1,1,Heatpump,Unit,"Brine out temperature"
valueHeatingSystemSupplyLineTemperature,InputRegister,12,30013,100,1,1,Heating,Unit,"System supply line temperature"
valueHeatpumpOutdoorTemperature,InputRegister,13,30014,100,1,1,Heatpump,Unit,"Outdoor temperature"
valueTapwaterTopTemperature,InputRegister,15,30016,100,1,1,Tapwater,Unit,"Tap water top temperature"
valueTapwaterLowerTemperature,InputRegister,16,30017,100,1,1,Tapwater,Unit,"Tap water lower temperature"
valueTapwaterWeightedTemperature,InputRegister,17,30018,100,1,1,Tapwater,Unit,"Tap water weighted temperature"
valueHeatingSystemSupplyLineCalculatedSetPoint,InputRegister,18,30019,100,1,1,Heating,Unit,"System supply line calculated set point"
valueHeatingSelectedHeatCurveSystemSupplyLine,InputRegister,19,30020,100,1,1,Heating,Unit,"Selected heat curve, (system) supply line"
valueHeatingHeatCurveXCoordinate1,InputRegister,20,30021,100,1,1,Heating,Unit,"Heat curve, X-coordinate 1 (highest outdoor temperature)"
valueHeatingHeatCurveXCoordinate2,InputRegister,21,30022,100,1,1,Heating,Unit,"Heat curve, X-coordinate 2"
valueHeatingHeatCurveXCoordinate3,InputRegister,22,30023,100,1,1,Heating,Unit,"Heat curve, X-coordinate 3"
valueHeatingHeatCurveXCoordinate4,InputRegister,23,30024,100,1,1,Heating,Unit,"Heat curve, X-coordinate 4"
valueHeatingHeatCurveXCoordinate5,InputRegister,24,30025,100,1,1,Heating,Unit,"Heat curve, X-coordinate 5"
valueHeatingHeatCurveXCoordinate6,InputRegister,25,30026,100,1,1,Heating,Unit,"Heat curve, X-coordinate 6"
valueHeatingHeatCurveXCoordinate7,InputRegister,26,30027,100,1,1,Heating,Unit,"Heat curve, X-coordinate 7 (lowest outdoor temperature)"
valueCoolingSeasonIntegralValue,InputRegister,36,30037,1,1,1,Cooling,Unit,"Cooling season integral value"
valueHeatpumpCondenserCirculationPumpSpeed,InputRegister,39,30040,100,1,1,Heatpump,Unit,"Condenser circulation pump speed (%)"
valueHeatingMixValve1SupplyLineTemperature,InputRegister,40,30041,100,1,1,Heating,MixValve1,"Mix valve 1 supply line temperature"
valueHeatingBufferTankTemperature,InputRegister,41,30042,100,1,1,Heating,Unit,"Buffer tank temperature"
valueHeatingMixValve1Position,InputRegister,43,30044,100,1,1,Heating,MixValve1,"Mix valve 1 position"
valueHeatpumpBrineCirculationPumpSpeed,InputRegister,44,30045,100,1,1,Heatpump,Unit,"Brine circulation pump speed (%)"
valueTapwaterHgwSupplyLineTemperature,InputRegister,45,30046,100,0,1,Tapwater,HGW,"HGW supply line temperature"
valueTapwaterHgwDirectionalValvePosition,InputRegister,47,30048,1,1,0,Tapwater,HGW,"Hot water directional valve position (%)"
valueHeatpumpCompressorOperatingHoursMsb,InputRegister,48,30049,1,1,1,Heatpump,Unit,"Compressor operating hours (MSB)"
valueHeatpumpCompressorOperatingHoursLsb,InputRegister,49,30050,1,1,1,Heatpump,Unit,"Compressor operating hours (LSB)"
valueTapwaterOperatingHoursMsb,InputRegister,50,30051,1,1,1,Tapwater,Unit,"Tap water operating hours (MSB)"
valueTapwaterOperatingHoursLsb,InputRegister,51,30052,1,1,1,Tapwater,Unit,"Tap water operating hours (LSB)"
valueHeatpumpExternalAdditionalHeaterOperatingHoursMsb,InputRegister,52,30053,1,1,1,Heatpump,Unit,"External additional heater operating hours (MSB)"
valueHeatpumpExternalAdditionalHeaterOperatingHoursLsb,InputRegister,53,30054,1,1,1,Heatpump,Unit,"External additional heater operating hours (LSB)"
valueHeatpumpCompressorSpeedPercent,InputRegister,54,30055,100,1,1,Heatpump,Unit,"Compressor speed percent"
valueHeatpumpCurrentlyRunningSecondPrioritisedDemand,InputRegister,55,30056,1,1,1,Heatpump,Unit,"Currently running: Second prioritised demand *1"
valueHeatpumpCurrentlyRunningThirdPrioritisedDemand,InputRegister,56,30057,1,1,1,Heatpump,Unit,"Currently running: Third prioritised demand *1"
valueHeatpumpSoftwareVersionMajor,InputRegister,57,30058,1,1,1,Heatpump,Unit,"Software version: Major"
valueHeatpumpSoftwareVersionMinor,InputRegister,58,30059,1,1,1,Heatpump,Unit,"Software version: Minor"
valueHeatpumpSoftwareVersionMicro,InputRegister,59,30060,1,1,1,Heatpump,Unit,"Software version: Micro"
valueHeatpumpCompressorTemporarilyBlocked,InputRegister,60,30061,1,1,1,Heatpump,Unit,"Compressor temporarily blocked, (start restriction timer)"
valueHeatpumpCompressorCurrentGear,InputRegister,61,30062,100,1,1,Heatpump,Unit,"Compressor current gear"
valueHeatpumpQueuedDemandFirstPriority,InputRegister,62,30063,1,1,1,Heatpump,Unit,"Queued demand, first priority *1"
valueHeatpumpQueuedDemandSecondPriority,InputRegister,63,30064,1,1,1,Heatpump,Unit,"Queued demand, second priority *1"
valueHeatpumpQueuedDemandThirdPriority,InputRegister,64,30065,1,1,1,Heatpump,Unit,"Queued demand, third priority *1"
valueHeatpumpQueuedDemandFourthPriority,InputRegister,65,30066,1,1,1,Heatpump,Unit,"Queued demand, fourth priority *1"
valueHeatpumpQueuedDemandFifthPriority,InputRegister,66,30067,1,1,1,Heatpump,Unit,"Queued demand, fifth priority *1"
valueHeatpumpInternalAdditionalHeaterCurrentStep,InputRegister,67,30068,1,0,1,Heatpump,Unit,"Internal additional heater current step"
valueHeatingBufferTankChargeSetPoint,InputRegister,68,30069,100,1,1,Heating,Unit,"Buffer tank charge set point"
valueElectricMeterL1Current,InputRegister,69,30070,100,0,1,Electric,Unit,"Electric meter L1 current (A)"
valueElectricMeterL2Current,InputRegister,70,30071,100,0,1,Electric,Unit,"Electric meter L2 current (A)"
valueElectricMeterL3Current,InputRegister,71,30072,100,0,1,Electric,Unit,"Electric meter L3 current (A)"
